timestamp,S1_Pompa_RPM,S2_Corrente_A,S3_Pres_Aspirazione_bar,S4_Pres_Mandata_bar,S5_Portata_Lmin,S6_Temp_Fluido_C,S7_Vib_Cuscinetto_Ant_mms,S8_Vib_Cuscinetto_Post_mms,S9_Temp_Motore_C,S10_Efficienza_Pct
0,2887.99,14.97,1.5,5.89,246.66,29.82,1.44,1.35,50.42,85.61
60000,2912.94,15.48,1.48,5.94,248.57,29.93,1.58,1.41,51.72,84.93
120000,2892.76,14.92,1.54,5.79,256.73,30.24,1.52,1.26,50.72,85.82
180000,2885.97,15.19,1.53,5.97,252.85,30.41,1.41,1.18,51.27,85.2
240000,2896.62,15.33,1.53,6.0,248.98,29.75,1.53,1.32,51.4,85.71
300000,2892.54,14.88,1.56,5.81,252.92,30.36,1.44,1.34,49.92,85.5
360000,2880.96,14.99,1.52,5.89,248.92,30.05,1.6,1.5,49.49,86.04
420000,2878.9,14.73,1.59,6.04,248.91,30.23,1.67,1.35,50.04,85.18
480000,2883.59,15.32,1.42,5.65,245.48,30.18,1.75,1.51,51.11,85.68
540000,2873.39,14.95,1.5,5.74,243.18,29.68,1.77,1.62,51.38,85.37
600000,2873.95,14.66,1.59,5.83,247.5,30.28,1.68,1.36,49.9,85.01
660000,2876.56,15.14,1.51,5.87,245.26,30.06,1.65,1.38,51.73,85.26
720000,2873.72,14.65,1.52,5.74,246.92,30.35,1.53,1.29,49.9,85.13
780000,2876.73,14.62,1.52,5.8,244.85,29.81,1.48,1.26,50.75,85.62
840000,2883.96,15.07,1.5,5.82,250.37,30.16,1.52,1.27,50.86,85.62
900000,2871.01,14.7,1.52,5.74,245.65,30.4,1.47,1.32,49.83,85.66
960000,2907.62,15.01,1.46,6.0,244.49,30.03,1.46,1.21,51.33,85.33
1020000,2873.46,14.63,1.47,5.79,249.04,30.18,1.71,1.4,50.33,85.46
1080000,2882.97,14.69,1.5,5.8,248.86,30.53,1.58,1.33,50.24,86.09
1140000,2891.84,15.44,1.51,5.89,245.83,30.39,1.52,1.4,52.06,84.57
1200000,2877.05,15.07,1.44,5.92,246.81,30.31,1.77,1.71,51.13,85.55
1260000,2898.74,15.26,1.41,5.98,252.95,30.22,1.69,1.58,49.54,85.78
1320000,2864.53,14.94,1.45,5.89,249.27,30.15,1.69,1.44,49.9,85.29
1380000,2841.62,14.51,1.52,5.72,248.14,30.21,1.56,1.35,50.17,84.67
1440000,2848.67,14.64,1.41,5.7,246.42,30.45,1.51,1.31,49.7,85.41
1500000,2881.27,14.9,1.51,5.82,247.82,30.38,1.52,1.26,50.85,85.23
1560000,2869.47,14.59,1.54,5.74,249.26,30.32,1.46,1.23,49.94,85.24
1620000,2851.13,13.97,1.57,5.81,244.74,29.74,1.51,1.36,49.43,85.2
1680000,2864.62,14.65,1.48,5.84,239.79,30.06,1.49,1.32,50.45,85.37
1740000,2876.97,14.66,1.47,5.9,252.52,29.94,1.68,1.54,49.77,85.29
1800000,2869.9,14.58,1.43,5.84,247.97,30.33,1.53,1.29,50.59,85.21
1860000,2838.15,14.33,1.5,5.67,247.68,29.96,1.53,1.3,49.14,85.67
1920000,2890.53,15.17,1.54,6.2,247.66,30.2,1.68,1.39,51.17,85.3
1980000,2912.95,15.43,1.49,5.96,248.78,30.27,1.64,1.46,51.21,85.59
2040000,2876.58,15.1,1.44,5.77,247.42,30.17,1.59,1.33,51.1,85.52
2100000,2885.3,14.98,1.51,5.94,250.6,30.58,1.39,1.22,50.15,85.14
2160000,2861.23,14.57,1.58,5.7,242.87,30.08,1.54,1.31,49.57,85.03
2220000,2863.26,14.89,1.5,5.64,250.82,30.24,1.46,1.06,50.55,85.07
2280000,2864.48,15.02,1.54,5.78,249.81,30.32,1.65,1.37,50.75,85.68
2340000,2856.86,14.86,1.55,5.69,244.83,29.9,1.6,1.41,50.59,84.87
2400000,2870.47,14.26,1.63,5.82,249.33,30.12,1.58,1.44,49.77,85.36
2460000,2886.23,15.35,1.53,5.8,248.27,30.17,1.72,1.56,51.84,85.6
2520000,2877.91,15.09,1.47,5.78,250.5,30.18,1.54,1.3,50.86,85.27
2580000,2866.97,14.72,1.49,5.87,247.85,30.48,1.45,1.15,50.63,85.79
2640000,2879.06,14.92,1.41,5.82,251.9,30.8,1.69,1.52,51.76,84.73
2700000,2875.18,14.73,1.46,5.78,245.99,31.18,1.44,1.33,50.9,85.1
2760000,2863.81,14.67,1.4,5.73,247.62,31.57,1.59,1.36,51.4,84.93
2820000,2863.46,14.75,1.43,5.88,247.27,31.4,1.4,1.25,51.21,85.39
2880000,2877.2,14.77,1.53,5.86,252.81,31.27,1.5,1.21,51.16,85.05
2940000,2844.88,14.26,1.52,5.7,248.95,31.11,1.51,1.21,50.84,85.17
3000000,2885.59,15.01,1.48,5.87,243.66,31.12,1.42,1.19,51.9,85.02
3060000,2892.85,15.13,1.49,5.94,248.82,31.47,1.68,1.4,52.15,85.26
3120000,2879.47,14.3,1.51,5.85,246.13,31.2,1.57,1.47,50.32,85.46
3180000,2922.93,15.53,1.51,5.99,250.47,31.37,1.59,1.45,52.2,85.09
3240000,2880.48,14.96,1.5,5.73,251.51,31.61,1.37,1.19,51.68,84.95
3300000,2886.52,15.19,1.49,5.75,243.19,31.31,1.57,1.4,52.97,84.75
3360000,2867.1,14.51,1.49,5.85,247.15,31.03,1.48,1.3,51.8,84.88
3420000,2910.54,15.34,1.55,5.8,247.15,31.44,1.59,1.39,52.17,85.43
3480000,2901.86,15.39,1.55,6.02,247.67,31.4,1.64,1.42,53.01,84.59
3540000,2874.42,14.9,1.5,5.72,246.3,31.19,1.41,1.26,51.47,85.64
3600000,2912.23,15.61,1.52,6.03,252.12,31.57,1.42,1.21,53.51,85.14
3660000,2931.71,15.49,1.49,6.06,250.75,31.11,1.52,1.28,52.8,84.84
3720000,2886.48,15.23,1.52,5.8,250.29,31.53,1.57,1.32,51.38,85.07
3780000,2912.39,14.96,1.53,6.05,250.31,31.66,1.47,1.23,51.9,85.2
3840000,2913.7,15.49,1.47,6.11,251.5,31.86,1.5,1.29,52.13,84.99
